Title,Authors_with_affiliations,Conf,Year,Cited_by
The importance of contexts in mixed-initiative interactions for online help,"Rao, S., School of Interactive Arts and Technology, Simon Fraser University, Canada; Menon, S., Indian Institute of Information Technology, Allahabad, India; Shakya, J., School of Interactive Arts and Technology, Simon Fraser University, Canada; Jordanov, M., School of Interactive Arts and Technology, Simon Fraser University, Canada; Doherty, L., School of Interactive Arts and Technology, Simon Fraser University, Canada; Kumar, V., School of Interactive Arts and Technology, Simon Fraser University, Canada",AAAI,2005,
Evaluating planning based approaches for end to end composition and execution of web services,"Agarwal, V., IBM India Research Laboratory, New Delhi, India; Chafle, G., IBM India Research Laboratory, New Delhi, India; Dasgupta, K., IBM India Research Laboratory, New Delhi, India; Mittal, S., IBM India Research Laboratory, New Delhi, India; Srivastava, B., IBM India Research Laboratory, New Delhi, India",AAAI,2005,
Managing the life cycle of plans,"Srivastava, B., IBM India Research Laboratory, IIT, Block 1, New Delhi 110016, India; Vanhatalo, J., IBM Zurich Research Laboratory, CH-8803 Riischlikon, Switzerland; Koehler, J., IBM Zurich Research Laboratory, CH-8803 Riischlikon, Switzerland",AAAI,2005,
"Roles:From objects, security and databases perspective","Chandra Sekharaiah, K., Distributed Object Systems Group, Department of Computer Science and Engg., JNTU College of Engineering Hyderabad, India; Janaki Ram, D., Distributed Object Systems Lab., Department of Computer Science and Engg., Indian Institute of Technology Madras, India",AAAI,2005,
Self trained artificial neural network,"Vikramaditya Reddy, J., AAAI, India, IEEE, India, ISOC, Spain, CSI, India, ISTE, India, Plot no 22, K.R.N.Colony, Bowenpally, Secunderabad, A.P-500011, India",AAAI,2004,
An average-case analysis of graph search,"Sen, A.K., Indian Inst. of Management Calcutta, Joka, D. H. Road, Calcutta 700 027, India; Bagchi, A., Indian Inst. of Management Calcutta, Joka, D. H. Road, Calcutta 700 027, India, School of Management, University of Texas at Dallas, Richardson, TX 75083, United States; Zhang, W., Computer Science Department, Washington University, St. Louis, MO 63130, United States",AAAI,2002,
On the structural properties of massive telecom call graphs: Findings and implications,"Nanavati, A.A., IBM India Research Laboratory, New Delhi, India; Gurumurthy, S., IBM India Research Laboratory, New Delhi, India; Das, G., IBM India Research Laboratory, New Delhi, India; Chakraborty, D., IBM India Research Laboratory, New Delhi, India; Dasgupta, K., IBM India Research Laboratory, New Delhi, India; Mukherjea, S., IBM India Research Laboratory, New Delhi, India; Joshi, A., Dept. of Computer Science, University of Maryland, Baltimore County, MD, United States",CIKM,2006,48
Event detection from Flickr data through wavelet-based spatial analysis,"Chen, L., L3S Research Center, Leibniz University Hannover, Germany; Roy, A., Indian Institute of Technology, Guwahati, India",CIKM,2009,47
Mining generalised disjunctive association rules,"Nanavati, A.A., IBM India Research Laboratory, Indian Institute of Technology, Block-1, Hauz Khas, New Delhi-110016, India; Chitrapura, K.P., IBM India Research Laboratory, Indian Institute of Technology, Block-1, Hauz Khas, New Delhi-110016, India; Joshi, S., IBM India Research Laboratory, Indian Institute of Technology, Block-1, Hauz Khas, New Delhi-110016, India; Krishnapuram, R., IBM India Research Laboratory, Indian Institute of Technology, Block-1, Hauz Khas, New Delhi-110016, India",CIKM,2001,24
Minimum-effort driven dynamic faceted search in structured databases,"Roy, S.B., Dept of Computer Sci and Eng, University of Texas at Arlington, Arlington TX, United States; Wang, H., Dept of Computer Sci and Eng, University of Texas at Arlington, Arlington TX, United States; Das, G., Dept of Computer Sci and Eng, University of Texas at Arlington, Arlington TX, United States; Nambiar, U., IBM India Research Lab, New Delhi, India; Mohania, M., IBM India Research Lab, New Delhi, India",CIKM,2008,19
Efficient techniques for document sanitization,"Chakaravarthy, V.T., IBM India Research Lab, India; Gupta, H., IBM India Research Lab, India; Roy, P., Aster Data Systems, United States; Mohania, M.K., IBM India Research Lab, India",CIKM,2008,16
Large maximal cliques enumeration in sparse graphs,"Modani, N., IBM India Research Lab, New Delhi, India; Dey, K., IBM India Research Lab, New Delhi, India",CIKM,2008,13
PROSPECT: A system for screening candidates for recruitment,"Singh, A., IBM Research, India; Catherine, R., IBM Research, India; Visweswariah, K., IBM Research, India; Chenthamarakshan, V., IBM T.J. Watson Research Center, Yorktown Heights, NY, United States; Kambhatla, N., IBM Research, India",CIKM,2010,12
User interests in social media sites: An exploration with micro-blogs,"Banerjee, N., IBM Research - India, 4, Block - C, Institutional Area, New Delhi, India; Chakraborty, D., IBM Research - India, 4, Block - C, Institutional Area, New Delhi, India; Dasgupta, K., IBM Research - India, 4, Block - C, Institutional Area, New Delhi, India; Joshi, A., IBM Research - India, 4, Block - C, Institutional Area, New Delhi, India; Mittal, S., IBM Research - India, 4, Block - C, Institutional Area, New Delhi, India; Nagar, S., IBM Research - India, 4, Block - C, Institutional Area, New Delhi, India; Rai, A., IIT, Madras, Dept. of Computer Science and Engineering, Chennai, India; Madan, S., IIT, Delhi, New Delhi, India",CIKM,2009,12
