Image,Name,Link,Designation,Company
/images/va.JPG,Varun Aggarwal,https://in.linkedin.com/in/varunaggarwal2,Founder and CTO,Aspiring Minds
/images/mg.jpg,Manish Gupta,http://www.xrci.xerox.com/profile-main/113/,Director,Xerox Research India
/images/akshay kothari.jpg,Akshay Kothari,https://in.linkedin.com/in/akothari,Head,LinkedIn India
/images/um.jpg,Una-May O'Reilly,http://people.csail.mit.edu/unamay/,Principal Research Scientist,MIT
/images/ks.jpg,Kunal Shah,https://in.linkedin.com/in/kunalshah1,Founder & Chairman,FreeCharge
/images/lv1.jpg,Lav Varshney,http://varshney.web.engr.illinois.edu/,Assistant Professor,UIUC
